ISBN,출판사,도서명,저자,역자,발행일,페이지,가격
9791162540770,비즈니스북스,데스 바이 아마존,시로타 마코토,신희원,2019-04-15,272,15000 
9791188850549,북라이프,4주 만에 완성하는 레깅스핏 스트레칭,모리 다쿠로,김현정,2019-04-11,132,13000 
9791188850518,북라이프,왕이 된 남자 2,김선덕,,2019-04-10,388,14000 
9791188850501,북라이프,왕이 된 남자 1,김선덕,,2019-04-10,440,14000 
9791162540756,비즈니스북스,새벽에 읽는 유대인 인생 특강,장대은,,2019-04-10,280,15000 
9791188850471,북라이프,왕이 된 남자 포토에세이,스튜디오 드래곤,,2019-04-10,368,25000 
9791162540732,비즈니스북스,오토노미 제2의 이동 혁명,로렌스 번스 -  크리스토퍼 슐건,김현정,2019-03-31,536,22000 
9791162540718,비즈니스북스,쓴다 쓴다 쓰는 대로 된다,후루카와 다케시,유나현,2019-03-30,232,13000 
9791162540695,비즈니스북스,머니패턴,이요셉 -  김채송화,,2019-03-25,264,15000 
9791162540671,비즈니스북스,1日 1行의 기적,유근용,,2019-03-20,500,13800 
9791188850440,북라이프,오늘도 울컥하고 말았습니다,정민지,,2019-03-15,248,13800 
9791188850426,북라이프,엘리트 제국의 몰락,미하엘 하르트만,이덕임,2019-02-27,376,16800 
9791162540640,비즈니스북스,아주 작은 습관의 힘,제임스 클리어,이한이,2019-02-26,360,16000 
9791186805398,비즈니스북스,그릿 GRIT(100쇄 기념 리커버 에디션),앤절라 더크워스,김미정,2019-02-20,416,16000 
9791162540619,비즈니스북스,일단 오늘 한 줄 써봅시다,김민태,,2019-02-15,252,14000 
9791162540596,비즈니스북스,뉴파워 - 새로운 권력의 탄생,제러미 하이먼즈 -  헨리 팀스,홍지수,2019-01-30,456,18000 
9791188850402,북라이프,잊지 않고 남겨두길 잘했어,이유미,,2019-01-29,252,13500 
9791188850389,북라이프,아이의 뇌에 상처 입히는 부모들,도모다 아케미,이은미,2019-01-28,240,13800 
9791162540572,비즈니스북스,어떻게 팔지 답답할 때 읽는 마케팅 책,리처드 쇼튼,이진원,2019-01-18,280,15000 
9791162540558,비즈니스북스,서른과 마흔 사이 나를 되돌아볼 시간,미리암 프리스,박지희,2019-01-10,316,15800 
9791188850365,북라이프,먹고사는 게 전부가 아닌 날도 있어서,노지양,,2018-12-25,256,13500 
9791188850341,북라이프,선생님 -  저 우울증인가요?,오카다 다카시,김현정,2018-12-20,272,14800 
9791162540527,비즈니스북스,관계의 품격,오노코로 신페이,유나현,2018-12-15,232,13500 
9791188850327,북라이프,백년 두뇌,하세가와 요시야,조해선,2018-11-29,236,14000 
9791162540503,비즈니스북스,세계미래보고서 2019,박영숙 -  제롬 글렌,이희령,2018-11-24,376,16500 
9791188850303,북라이프,진정한 나로 살아갈 용기,브레네 브라운,이은경,2018-11-23,228,13500 
9791188850280,북라이프,반려견 증상 상식 사전,김보윤,,2018-11-15,232,14800 
9791188850266,북라이프,나를 사랑하는 일에 서툰 당신에게,안정현(마음달),,2018-10-31,240,14000 
9791162540480,비즈니스북스,완벽한 재무제표 읽기,이강연,,2018-10-30,464,20000 
9791162540466,비즈니스북스,하워드 막스 투자와 마켓 사이클의 법칙,하워드 막스(Howard Marks),이주영,2018-10-29,436,18000 
